country,variable,zero_count_raw,missing_count_raw
Australia,anxiety,0,0
Australia,depression,0,0
Australia,stress,0,0
Australia,insomnia,0,0
Australia,mental_disorder,0,0
Canada,anxiety,0,0
Canada,depression,0,0
Canada,stress,0,0
Canada,insomnia,0,0
Canada,mental_disorder,0,0
Ireland,anxiety,4,0
Ireland,depression,0,0
Ireland,stress,3,0
Ireland,insomnia,26,0
Ireland,mental_disorder,4,0
New_Zealand,anxiety,0,0
New_Zealand,depression,0,0
New_Zealand,stress,3,0
New_Zealand,insomnia,22,0
New_Zealand,mental_disorder,0,0
UK,anxiety,0,0
UK,depression,0,0
UK,stress,2,0
UK,insomnia,0,0
UK,mental_disorder,0,0
US,anxiety,0,0
US,depression,0,0
US,stress,0,0
US,insomnia,0,0
US,mental_disorder,0,0
