country,variable,seasonal_mean,seasonal_sd,seasonal_cv_pct
Australia,anxiety,59.401515151515156,4.267001321242132,7.1833206785354085
Australia,depression,37.28409090909091,5.421079325359548,14.539926261250844
Australia,stress,27.545454545454547,3.765775732437777,13.671133022051334
Australia,insomnia,8.992424242424244,0.5109004636390112,5.681454187055558
Australia,mental_disorder,26.147727272727277,4.338171435634911,16.591007663445115
Canada,anxiety,59.86742424242424,3.157252175115289,5.273739792663311
Canada,depression,35.041666666666664,4.021610403546862,11.476652756851925
Canada,stress,28.89015151515152,3.76230554650925,13.02279617514674
Canada,insomnia,10.454545454545455,0.9150630282143455,8.752776791615478
Canada,mental_disorder,23.75757575757576,3.638807718583443,15.316410039955816
Ireland,anxiety,53.831439393939384,2.4875391201842336,4.620978276245561
Ireland,depression,31.159090909090907,3.140612764244604,10.079282394366345
Ireland,stress,26.174242424242422,3.621189068243875,13.83493363265388
Ireland,insomnia,10.274621212121213,0.7510655188178047,7.309909565636882
Ireland,mental_disorder,17.426136363636363,2.6592608725790243,15.260186291943539
New_Zealand,anxiety,58.1098484848485,3.621895719102095,6.232843164350126
New_Zealand,depression,38.78409090909091,5.179611136482067,13.354989159402928
New_Zealand,stress,30.37878787878788,3.809875524889431,12.54123614178067
New_Zealand,insomnia,10.9375,0.6458780168412488,5.9051704396914175
New_Zealand,mental_disorder,25.087121212121215,3.5067530822778377,13.978300071287167
UK,anxiety,53.04166666666668,2.173318354999172,4.097379459542821
UK,depression,27.21590909090909,2.512711859038252,9.232511214837837
UK,stress,25.973484848484848,2.9232903929926435,11.25490249015689
UK,insomnia,7.859848484848484,0.9320365261891637,11.858199658503095
UK,mental_disorder,20.640151515151516,2.3024060793156407,11.15498632665313
US,anxiety,57.21969696969697,1.7695811596507909,3.0926084082338727
US,depression,30.303030303030308,2.9860263928560578,9.85388709642499
US,stress,26.78030303030303,2.8660185115749357,10.701964456234554
US,insomnia,9.962121212121213,0.5182011498979641,5.2017149647552285
US,mental_disorder,21.53409090909091,2.5932007409077737,12.042304232183858
