country,model_scope,model_type,resid_n,resid_mean,resid_std,LjungBox_p12,LjungBox_p24,ARCH_LM_p12,JarqueBera_p
Australia,train_validation_refit,ARIMA,233,0.11756864369369661,5.26199929072945,6.851828064173076e-06,2.9078733301111623e-14,0.008131981940893176,2.59453094914814e-26
Australia,train_validation_refit,Naive,232,-35.75431034482759,25.011425587357618,0.0,0.0,3.13383522255434e-39,3.3720499065090677e-06
Australia,train_validation_refit,SARIMA,233,0.024588986087197857,4.133189685888434,0.3114031307602666,0.28377666112201577,3.2914164447118654e-10,2.7169220858929435e-136
Australia,train_validation_refit,SARIMAX,233,0.10690051023415202,4.246456616953175,0.011018922601311678,0.015740552107525407,8.376382447695034e-12,1.1508690997714044e-162
Australia,train_validation_refit,Seasonal_Naive,221,25.877828054298643,24.840372321674067,0.0,0.0,1.1505424999145917e-34,5.214695924261556e-06
Canada,train_validation_refit,ARIMA,233,0.15631842916846753,4.930108076147232,7.821261978441856e-14,5.0597834444887604e-24,0.010987110604000505,9.694781319998329e-132
Canada,train_validation_refit,Naive,232,-32.32327586206897,24.629615994316005,0.0,0.0,1.5431768050958715e-39,1.9723270904513504e-06
Canada,train_validation_refit,SARIMA,233,0.0671268744482356,4.330844311495068,0.06991873189055513,2.6390397139807256e-05,0.13957905342578697,0.0
Canada,train_validation_refit,SARIMAX,233,0.061327325195523086,4.2570250618937,0.04730056172776629,2.282879353129384e-05,0.020968749472330298,0.0
Canada,train_validation_refit,Seasonal_Naive,221,25.122171945701357,24.549921436410678,0.0,0.0,6.219139503031836e-36,4.611720615272491e-06
Ireland,train_validation_refit,ARIMA,233,0.12345092182746581,5.059326324473979,2.799613196267875e-05,5.9727636632509435e-06,1.7689704778115055e-05,1.3776882844002227e-46
Ireland,train_validation_refit,Naive,232,-28.15301724137931,26.746555666386158,0.0,0.0,4.3819293309382324e-39,2.233596920585701e-06
Ireland,train_validation_refit,SARIMA,233,0.08784443583740907,4.938838359755811,0.23018919796701676,0.24594850140567998,6.688109205575988e-08,8.257256551566252e-62
Ireland,train_validation_refit,SARIMAX,233,0.07095217815262905,4.898568819657902,0.28610985072473183,0.19880572811638703,3.45775383147027e-08,1.921483450212253e-66
Ireland,train_validation_refit,Seasonal_Naive,221,26.407239819004523,26.976932118732293,0.0,0.0,1.1913119221074745e-34,8.580914927509327e-06
New_Zealand,train_validation_refit,ARIMA,233,0.05232164563598312,5.832695730934637,0.0004707299416420901,0.0013405539699058115,0.017277518290354142,2.596864770280232e-10
New_Zealand,train_validation_refit,Naive,232,-37.21551724137931,26.04402068775321,0.0,0.0,2.7919114088723055e-38,2.8099648097994906e-06
New_Zealand,train_validation_refit,SARIMA,233,0.08042923852313011,5.583867095182239,0.07894677576141163,0.3478595582958803,0.8475349251841979,8.002533834759396e-12
New_Zealand,train_validation_refit,SARIMAX,233,0.08174831951380244,5.5780326299051595,0.10357445671722205,0.42481233464441276,0.8636242815000134,6.7824251343074425e-12
New_Zealand,train_validation_refit,Seasonal_Naive,221,26.67873303167421,26.641746977701338,0.0,0.0,4.474914567937712e-34,6.896302877316268e-05
UK,train_validation_refit,ARIMA,233,0.08874119067479008,4.179836142993532,3.37234232183298e-11,5.239943958268226e-21,2.4299247369012055e-08,4.401890488656437e-15
UK,train_validation_refit,Naive,232,-40.327586206896555,28.934102128973215,0.0,0.0,5.647286559959247e-40,1.4084174360683391e-06
UK,train_validation_refit,SARIMA,233,0.05983893487756314,3.797050151205654,0.1357414502843155,4.325570503624263e-06,4.018565826084143e-06,5.243550701045567e-25
UK,train_validation_refit,SARIMAX,233,0.045389641092098636,3.630077344543192,0.2893547250370615,0.00012824281832312127,2.2550807732944602e-07,2.471579655790517e-28
UK,train_validation_refit,Seasonal_Naive,221,30.153846153846153,28.847937473994506,0.0,0.0,2.2274168721852034e-36,3.524576579472986e-06
US,train_validation_refit,ARIMA,233,0.12848622278179153,3.5765177051879644,9.567922710805782e-06,8.013098687779198e-09,0.19083747014029248,0.0
US,train_validation_refit,Naive,232,-42.05172413793103,23.18506192749071,0.0,0.0,7.145777929627378e-40,4.265036683420681e-06
US,train_validation_refit,SARIMA,233,0.0730877748462189,3.352716835660924,0.08846496286299213,0.21444494368711017,4.477688327701322e-22,0.0
US,train_validation_refit,SARIMAX,233,0.0673680829208564,3.3350635076910247,0.07624056139005976,0.2330001134603812,3.3759425496024036e-22,0.0
US,train_validation_refit,Seasonal_Naive,221,26.452488687782804,23.035027786870952,0.0,0.0,1.0819718195558243e-36,1.1091153264768248e-05
Australia,full_sample_intervention,SARIMAX_explanatory,264,0.10263045243217887,4.1836519088653,0.06263099639734122,0.10056592327396259,6.2707107208282e-13,1.8079637130996287e-160
Canada,full_sample_intervention,SARIMAX_explanatory,264,0.05369645110851798,4.376930082169497,0.019799001940584163,2.9766308680278433e-09,0.013239717387983413,0.0
Ireland,full_sample_intervention,SARIMAX_explanatory,264,0.11691978722742259,4.69400989167121,0.980827457682701,0.8510330275988551,1.1762802858972702e-05,1.4082273484298384e-82
New_Zealand,full_sample_intervention,SARIMAX_explanatory,264,0.0718706419349473,5.678170390088023,0.03892669559465869,0.1466380137480235,0.5837525519178037,1.5645825590903036e-11
UK,full_sample_intervention,SARIMAX_explanatory,264,0.037585754569705365,3.698106796717078,0.20047294518075895,4.38915780581373e-07,4.1019390681539035e-05,3.144294897229972e-23
US,full_sample_intervention,SARIMAX_explanatory,264,0.08325872052032567,3.440926509531411,0.06336053140915544,0.14345930572781967,3.66751721335635e-20,0.0
