country,split,start_date,end_date,n_months,covid_months,early_covid_months,post_covid_months,max_covid_trend,max_post_covid_trend
Australia,test,2023-06-01,2025-12-01,31,0,0,31,0,31
Australia,train,2004-01-01,2021-12-01,216,24,4,0,24,0
Australia,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
Canada,test,2023-06-01,2025-12-01,31,0,0,31,0,31
Canada,train,2004-01-01,2021-12-01,216,24,4,0,24,0
Canada,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
Ireland,test,2023-06-01,2025-12-01,31,0,0,31,0,31
Ireland,train,2004-01-01,2021-12-01,216,24,4,0,24,0
Ireland,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
New_Zealand,test,2023-06-01,2025-12-01,31,0,0,31,0,31
New_Zealand,train,2004-01-01,2021-12-01,216,24,4,0,24,0
New_Zealand,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
UK,test,2023-06-01,2025-12-01,31,0,0,31,0,31
UK,train,2004-01-01,2021-12-01,216,24,4,0,24,0
UK,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
US,test,2023-06-01,2025-12-01,31,0,0,31,0,31
US,train,2004-01-01,2021-12-01,216,24,4,0,24,0
US,validation,2022-01-01,2023-05-01,17,17,0,0,41,0
