country,model_type,order,seasonal_order,exog_set,AIC_refit,BIC_refit,test_MAE,test_RMSE,test_sMAPE,resid_n,resid_mean,resid_std,LjungBox_p12,LjungBox_p24,ARCH_LM_p12,JarqueBera_p,status
Australia,Seasonal_Naive,,,,,,3.903225806451613,5.220925637866243,4.512261555540563,221,25.877828054298643,24.840372321674067,0.0,0.0,1.1505424999145917e-34,5.214695924261556e-06,OK
Australia,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",,1118.8892771249436,1138.8565341376811,7.164753256543516,8.630129699985567,8.28026181406155,233,0.024588986087197857,4.133189685888434,0.3114031307602666,0.28377666112201577,3.2914164447118654e-10,2.7169220858929435e-136,OK
Australia,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",,1397.8538286128658,1418.4561606341913,10.138123530358277,12.874956550212138,11.760899627923454,233,0.11756864369369661,5.26199929072945,6.851828064173076e-06,2.9078733301111623e-14,0.008131981940893176,2.59453094914814e-26,OK
Australia,Naive,,,,,,13.935483870967742,15.892785947129923,15.702269524805038,232,-35.75431034482759,25.011425587357618,0.0,0.0,3.13383522255434e-39,3.3720499065090677e-06,OK
Australia,SARIMAX,"(1, 1, 1)","(0, 1, 1, 12)",early_covid_shock+covid_period+covid_trend,1134.3969897954626,1161.0199991457791,37.69042335727499,38.805023736092785,36.730892162540336,233,0.10690051023415202,4.246456616953175,0.011018922601311678,0.015740552107525407,8.376382447695034e-12,1.1508690997714044e-162,OK
Canada,Seasonal_Naive,,,,,,4.225806451612903,5.064105181601443,4.94175723581715,221,25.122171945701357,24.549921436410678,0.0,0.0,6.219139503031836e-36,4.611720615272491e-06,OK
Canada,Naive,,,,,,5.064516129032258,5.877787602216857,5.994682668629629,232,-32.32327586206897,24.629615994316005,0.0,0.0,1.5431768050958715e-39,1.9723270904513504e-06,OK
Canada,ARIMA,"(2, 1, 1)","(0, 0, 0, 0)",,1351.9047167464735,1369.0951132910895,7.058729858769711,8.992276251132095,8.20917867157326,233,0.15631842916846753,4.930108076147232,7.821261978441856e-14,5.0597834444887604e-24,0.010987110604000505,9.694781319998329e-132,OK
Canada,SARIMA,"(1, 1, 1)","(0, 0, 1, 12)",,1210.556372347889,1227.4788476618344,9.950452569032894,12.302622337004655,11.266077503883656,233,0.0671268744482356,4.330844311495068,0.06991873189055513,2.6390397139807256e-05,0.13957905342578697,0.0,OK
Canada,SARIMAX,"(1, 1, 1)","(0, 0, 1, 12)",early_covid_shock+covid_period+covid_trend,1206.1516538401827,1233.2276143424954,20.084104740238512,21.63592546661831,21.343610120904373,233,0.061327325195523086,4.2570250618937,0.04730056172776629,2.282879353129384e-05,0.020968749472330298,0.0,OK
Ireland,Seasonal_Naive,,,,,,4.096774193548387,5.509522548250204,5.2521981624034675,221,26.407239819004523,26.976932118732293,0.0,0.0,1.1913119221074745e-34,8.580914927509327e-06,OK
Ireland,Naive,,,,,,5.258064516129032,6.463295873498837,6.789532801453063,232,-28.15301724137931,26.746555666386158,0.0,0.0,4.3819293309382324e-39,2.233596920585701e-06,OK
Ireland,SARIMA,"(2, 1, 1)","(0, 1, 1, 12)",,1193.6057181916658,1213.5729752044033,7.739364203932184,9.206977570520426,9.694536393396062,233,0.08784443583740907,4.938838359755811,0.23018919796701676,0.24594850140567998,6.688109205575988e-08,8.257256551566252e-62,OK
Ireland,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",,1371.5271041756262,1381.8413421023959,8.302708586070324,9.98997693403306,10.409634492334309,233,0.12345092182746581,5.059326324473979,2.799613196267875e-05,5.9727636632509435e-06,1.7689704778115055e-05,1.3776882844002227e-46,OK
Ireland,SARIMAX,"(2, 1, 1)","(0, 1, 1, 12)",early_covid_shock+covid_period+covid_trend,1195.1654006216213,1225.1162861407274,31.773333835373577,32.84450582045805,34.20994181262109,233,0.07095217815262905,4.898568819657902,0.28610985072473183,0.19880572811638703,3.45775383147027e-08,1.921483450212253e-66,OK
New_Zealand,Seasonal_Naive,,,,,,6.387096774193548,8.226628674909225,7.401847149969511,221,26.67873303167421,26.641746977701338,0.0,0.0,4.474914567937712e-34,6.896302877316268e-05,OK
New_Zealand,SARIMAX,"(0, 1, 1)","(1, 0, 0, 12)",early_covid_shock+covid_period+covid_trend,1349.0984740453164,1372.853866869783,7.685847186495778,9.728384860864193,9.091912071078426,233,0.08174831951380244,5.5780326299051595,0.10357445671722205,0.42481233464441276,0.8636242815000134,6.7824251343074425e-12,OK
New_Zealand,ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",,1440.9711887739018,1461.5735207952273,12.225161587984704,15.025975167588538,14.00945856952998,233,0.05232164563598312,5.832695730934637,0.0004707299416420901,0.0013405539699058115,0.017277518290354142,2.596864770280232e-10,OK
New_Zealand,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",,1343.6752576462497,1357.2497678316593,14.495840063790752,17.197160774724384,16.25640876292725,233,0.08042923852313011,5.583867095182239,0.07894677576141163,0.3478595582958803,0.8475349251841979,8.002533834759396e-12,OK
New_Zealand,Naive,,,,,,15.0,17.199962490581754,16.8568779151466,232,-37.21551724137931,26.04402068775321,0.0,0.0,2.7919114088723055e-38,2.8099648097994906e-06,OK
UK,Seasonal_Naive,,,,,,3.7419354838709675,4.71100290671708,4.422433561416391,221,30.153846153846153,28.847937473994506,0.0,0.0,2.2274168721852034e-36,3.524576579472986e-06,OK
UK,Naive,,,,,,4.806451612903226,6.140820581921837,5.505981345033736,232,-40.327586206896555,28.934102128973215,0.0,0.0,5.647286559959247e-40,1.4084174360683391e-06,OK
UK,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",,1296.9348761254012,1307.2491140521709,8.633732115304984,10.284168357613021,9.557671478854763,233,0.08874119067479008,4.179836142993532,3.37234232183298e-11,5.239943958268226e-21,2.4299247369012055e-08,4.401890488656437e-15,OK
UK,SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",,1195.7723717630606,1209.310352014217,9.97973847892584,11.822027951432958,10.895543569519619,233,0.05983893487756314,3.797050151205654,0.1357414502843155,4.325570503624263e-06,4.018565826084143e-06,5.243550701045567e-25,OK
UK,SARIMAX,"(2, 1, 1)","(0, 0, 1, 12)",early_covid_shock+covid_period+covid_trend,1184.3281252870713,1214.788580852173,18.315716264173552,19.445630116481283,19.103518287313353,233,0.045389641092098636,3.630077344543192,0.2893547250370615,0.00012824281832312127,2.2550807732944602e-07,2.471579655790517e-28,OK
US,Naive,,,,,,3.193548387096774,4.299287262761345,3.5102554592557054,232,-42.05172413793103,23.18506192749071,0.0,0.0,7.145777929627378e-40,4.265036683420681e-06,OK
US,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",,1180.2776778709583,1200.8800098922839,6.113035699034247,6.963280331068423,6.612157828947477,233,0.12848622278179153,3.5765177051879644,9.567922710805782e-06,8.013098687779198e-09,0.19083747014029248,0.0,OK
US,Seasonal_Naive,,,,,,5.935483870967742,7.202150216562792,6.724702518859954,221,26.452488687782804,23.035027786870952,0.0,0.0,1.0819718195558243e-36,1.1091153264768248e-05,OK
US,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",,998.3722544223103,1018.3395114350478,8.056953885119118,9.213931916881357,8.546118623969036,233,0.0730877748462189,3.352716835660924,0.08846496286299213,0.21444494368711017,4.477688327701322e-22,0.0,OK
US,SARIMAX,"(1, 1, 1)","(1, 1, 1, 12)",early_covid_shock+covid_period+covid_trend,1000.5990483468931,1030.5499338659993,15.749183695576606,16.556629467214297,16.026309003223435,233,0.0673680829208564,3.3350635076910247,0.07624056139005976,0.2330001134603812,3.3759425496024036e-22,0.0,OK
