counterfactual_version,phase,n_months,mean_observed,mean_counterfactual,mean_gap,cumulative_gap,percent_gap_vs_counterfactual_mean,share_months_above_counterfactual,share_months_above_upper_95,share_counterfactual_exceeds_100
capped,COVID_period,246,86.8170731707317,92.30120459392137,-5.48413142318966,-1349.0963301046563,-5.941559969143485,0.21544715447154472,0.008130081300813009,0.0
capped,Full_2020_2025,432,85.80092592592592,95.45403024763162,-9.653104321705687,-4170.141066976857,-10.112830539122466,0.12268518518518519,0.004629629629629629,0.0
capped,Post_COVID,186,84.45698924731182,99.62389643479678,-15.166907187484945,-2821.0447368722,-15.22416581789851,0.0,0.0,0.0
logit,COVID_period,246,86.8170731707317,89.66484615409031,-2.847772983358609,-700.5521539062179,-3.176019483114565,0.3861788617886179,0.08943089430894309,0.0
logit,Full_2020_2025,432,85.80092592592592,91.86382591695394,-6.062899991028023,-2619.172796124106,-6.599877514908818,0.2523148148148148,0.0625,0.0
logit,Post_COVID,186,84.45698924731182,94.77215399041877,-10.315164743106926,-1918.6206422178882,-10.88417252197282,0.07526881720430108,0.026881720430107527,0.0
raw,COVID_period,246,86.8170731707317,93.06949242336519,-6.252419252633473,-1538.0951361478344,-6.718011552262207,0.21544715447154472,0.008130081300813009,0.18699186991869918
raw,Full_2020_2025,432,85.80092592592592,100.37879699679661,-14.577871070870692,-6297.640302616139,-14.522858917442413,0.12268518518518519,0.004629629629629629,0.49074074074074076
raw,Post_COVID,186,84.45698924731182,110.04594175520594,-25.58895250789411,-4759.545166468304,-23.252972440197752,0.0,0.0,0.8924731182795699
